-90.000000000000000, 0.000000000000000, 0.000000000000000e+00, 0.000000000000000e+00, 1.358108794659274e-08
-87.039942751107972, -1.033217655100079, -7.279309655631812e-10, 1.312823856966127e-11, 1.407980728195371e-08
-85.813381087044561, -104.165643727553245, 2.593290567446622e-10, 1.027448716042280e-09, 1.447625779981872e-08
-84.871889121133862, -177.115634757753440, 1.292904718479728e-09, 6.514202183224799e-11, 1.442515384705495e-08
-84.077908065225756, 123.301042753490407, 7.978700017689322e-10, -1.214592820704395e-09, 1.400963323019984e-08
-83.378162098047227, 71.683116971821818, -5.025770750271850e-10, -1.518151948228626e-09, 1.377530121359609e-08
-82.745331273992846, 25.499191897065852, -1.667453806757090e-09, -7.953057996113512e-10, 1.451236140627246e-08
-82.163188119206822, -16.674887545958743, -1.987257512451092e-09, 5.952565479117320e-10, 1.507214555105529e-08
-81.621160712998361, -55.733580782017917, -1.280572250894586e-09, 1.879614188076652e-09, 1.544154688658921e-08
-81.111906584430116, -92.281892944998347, 9.446320431777434e-11, 2.370611221412879e-09, 1.517104615970201e-08
-80.630080311224219, -126.751533281163873, 1.542988141143078e-09, 2.066196376142668e-09, 1.562791335553739e-08
-80.171646971389222, -159.463284297962161, 2.504661791223809e-09, 9.382844859624850e-10, 1.543896953203162e-08
-79.733472172109373, 169.336806319522168, 2.651839712887108e-09, -4.993061897808152e-10, 1.489800616013259e-08
-79.313063564647848, 139.455124741989181, 2.090431661650762e-09, -1.788230785315483e-09, 1.457715844475555e-08
-78.908400579666122, 110.736075388390418, 9.673777816117346e-10, -2.555224203463597e-09, 1.393702445703221e-08
-78.517818156777452, 83.052390566313704, -3.337658181992939e-10, -2.739007284719534e-09, 1.358385767101483e-08
-78.139924908502365, 56.298400539876305, -1.666707607761713e-09, -2.498971500205930e-09, 1.430340916746266e-08
-77.773544018906733, 30.385228761276529, -2.765492652291101e-09, -1.621546673544811e-09, 1.479448730004971e-08
-77.417669603596764, 5.237279333264254, -3.359432711351840e-09, -3.079363665072973e-10, 1.511413772440487e-08
-77.071433857469458, -19.210384152949100, -3.428291778467520e-09, 1.194554237551886e-09, 1.581512560132200e-08
-76.734081899711342, -43.014030136672865, -2.795515093062853e-09, 2.608140102155027e-09, 1.621659920017112e-08
-76.404952220370745, -66.222796467015087, -1.568832321531323e-09, 3.560855476826395e-09, 1.609010649165305e-08
-76.083461275497015, -88.879894117293048, -7.608310402100065e-11, 3.891315509791620e-09, 1.570763678050661e-08
-75.769091203302196, -111.023561674579781, 1.464907298865604e-09, 3.811528329517871e-09, 1.610069170879083e-08
-75.461379921679836, -132.687830899670786, 2.880401354681465e-09, 3.122791581119110e-09, 1.638161875744427e-08
-75.159913066061364, -153.903147138867325, 3.844234354256576e-09, 1.883009152037542e-09, 1.615578782268184e-08
-74.864317366114534, -174.696876863036834, 4.163821231630815e-09, 3.864949371886948e-10, 1.545985728652697e-08
-74.574255159369159, 164.906273542950686, 4.030669929832137e-09, -1.087084762799032e-09, 1.512956720757017e-08
-74.289419811984274, 144.883909482487809, 3.426397853209475e-09, -2.409550566893316e-09, 1.489161265506583e-08
-74.009531869818559, 125.215656362306518, 2.374534127420003e-09, -3.364164694915346e-09, 1.436938672036856e-08
-73.734335802313822, 105.882913503602083, 1.089893580210526e-09, -3.830436224917986e-09, 1.364936244959594e-08
-73.463597231285462, 86.868645296966505, -2.159088345120121e-10, -3.946645171082570e-09, 1.331250850207008e-08
-73.197100559181820, 68.157202936407927, -1.553960069126509e-09, -3.876776699934022e-09, 1.383111705923839e-08
